internal_company_id,internal_company_name,internal_domain,internal_country,external_provider,external_provider_commit,external_ats_family,external_company_name,external_slug,external_url,match_class,match_basis,confidence_reason,verified,verified_at,jrc_support,source_multiplicity
EMP-07229,Manulife,manulife.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,breezy,Manulife,manulife,https://manulife.breezy.hr,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07229,Manulife,manulife.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Manulife and John Hancock (Mfcjh Adminjobs),manulife/mfcjh_adminjobs,https://manulife.wd3.myworkdayjobs.com/mfcjh_adminjobs,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07229,Manulife,manulife.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Manulife and John Hancock,manulife/mfcjh_jobs,https://manulife.wd3.myworkdayjobs.com/mfcjh_jobs,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07230,Munich Re,munichre.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,bamboohr,munichre,munichre,https://munichre.bamboohr.com/careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,UNSUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07232,QBE,qbe.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Qbe,qbe/qbe-careers,https://qbe.wd3.myworkdayjobs.com/qbe-careers,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07233,Sun Life,sunlife.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Sun Life (Campus),sunlife/Campus,https://sunlife.wd3.myworkdayjobs.com/Campus,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07233,Sun Life,sunlife.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Sun Life (Experienced),sunlife/experienced,https://sunlife.wd3.myworkdayjobs.com/experienced,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07233,Sun Life,sunlife.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,workday,Sun Life,sunlife/experienced-jobs,https://sunlife.wd3.myworkdayjobs.com/experienced-jobs,HIGH_CONFIDENCE,SLUG_PLUS_NAME,board slug/host token equals domain company token + compatible names,false,,LEGACY_SUPPORTED,MULTI_SOURCE_CANDIDATE
EMP-07235,Alstom,alstom.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,Alstom,jobsearch,https://jobsearch.alstom.com,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
EMP-07236,DB Schenker,dsv.com,Multi-region,ats-scrapers,6b44a1badc9bfbf5cf176f75265cc5729e520e99,successfactors,Work for DSV and forward your career | DSV,jobs,https://jobs.dsv.com,HIGH_CONFIDENCE,URL_EXACT,internal resolved portal URL equals external board URL,false,,LEGACY_SUPPORTED,SINGLE_SOURCE_CANDIDATE
