name,tier,primary_category,dataset_canonical_employer,corporate_cluster_id,portal_status,portal_id,jobs_url,scan_enabled,portal_health,last_successful_scan_at,covered_brands,monitoring_scope
Netskope,S,cybersecurity_vendor,Netskope,CG-DE21FCE046,resolved_scannable,434,https://www.netskope.com/company/careers,True,UNKNOWN,,,core
Proofpoint,S,cybersecurity_vendor,Proofpoint,CG-9CA85DBA9E,resolved_scannable,265,https://proofpoint.wd5.myworkdayjobs.com/proofpointcareers,True,HEALTHY,2026-08-31 09:07:48.354453,,core
Tenable,S,cybersecurity_vendor,Tenable,CG-AA4B65F605,resolved_scannable,493,https://www.tenable.com/careers,True,UNKNOWN,,,core
Rapid7,S,cybersecurity_vendor,Rapid7,CG-D9132F0D0E,resolved_scannable,89,https://careers.rapid7.com/jobs/search,True,UNKNOWN,,,core
Rubrik,S,cybersecurity_vendor,Rubrik,CG-1EA1115B70,resolved_scannable,465,https://www.rubrik.com/company/careers,True,UNKNOWN,,,core
Snyk,S,cybersecurity_vendor,Snyk,CG-97F1F34CF3,resolved_scannable,275,https://snyk.io/careers/all-jobs/,True,HEALTHY,2026-08-31 15:01:59.688339,,core
Darktrace,S,cybersecurity_vendor,Darktrace,CG-55BE6B30E5,resolved_scannable,354,https://www.darktrace.com/careers,True,UNKNOWN,,,core
JPMorgan Chase,S,finance_payments_markets,JPMorgan Chase,CG-369AF0453D,resolved_scannable,68,https://careers.jpmorgan.com/,True,HEALTHY,2026-08-31 14:31:32.356268,,core
Goldman Sachs,S,finance_payments_markets,Goldman Sachs,CG-13B9767F73,resolved_scannable,157,https://higher.gs.com/,True,HEALTHY,2026-08-31 15:02:02.088725,,core
Morgan Stanley,S,finance_payments_markets,Morgan Stanley,CG-1D8734AD81,resolved_scannable,428,https://www.morganstanley.com/people-opportunities/apply-contact,True,UNKNOWN,,,core
Citigroup,S,finance_payments_markets,Citigroup,CG-FD061ADF6F,resolved_scannable,190,https://jobs.citi.com/,True,HEALTHY,2026-08-31 15:01:56.457729,,core
Bank of America,S,finance_payments_markets,Bank of America,CG-338FE083ED,resolved_scannable,31,https://careers.bankofamerica.com/en-us/job-search,True,HEALTHY,2026-08-31 09:38:09.814112,,core
Visa,S,finance_payments_markets,Visa,CG-68111B2D77,resolved_scannable,137,https://corporate.visa.com/en/careers.html,True,HEALTHY,2026-08-31 15:01:54.881123,,core
Mastercard,S,finance_payments_markets,Mastercard,CG-C19E33E7A9,resolved_scannable,76,https://careers.mastercard.com/us/en/search-results/,True,UNKNOWN,,Recorded Future,core
Stripe,S,finance_payments_markets,Stripe,CG-2FCB5A43A4,resolved_scannable,276,https://stripe.com/careers/search,True,HEALTHY,2026-08-31 15:01:59.683808,,core
Bloomberg,S,finance_payments_markets,,,missing_to_resolve,,,False,,,,core
BlackRock,S,finance_payments_markets,BlackRock,CG-2B44A3EB35,resolved_scannable,36,https://careers.blackrock.com/en/search-jobs,True,HEALTHY,2026-08-31 19:54:40.962633,,core
Deutsche Bank,S,finance_payments_markets,Deutsche Bank,CG-45EE2F0FC4,resolved_scannable,45,https://careers.db.com/professionals/search-roles/,True,HEALTHY,2026-08-31 14:31:22.569482,,core
UBS,S,finance_payments_markets,UBS,CG-4D3B07ABB6,resolved_scannable,498,https://www.ubs.com/global/en/careers.html,True,UNKNOWN,,,core
Barclays,S,finance_payments_markets,Barclays Bank,CG-4C16132B2C,resolved_scannable,271,https://search.jobs.barclays/,True,HEALTHY,2026-08-31 15:02:00.225746,,core
HSBC,S,finance_payments_markets,HSBC Bank,CG-616DA28709,resolved_scannable,8,https://apply.careers.hsbc.com/search/,True,HEALTHY,2026-08-31 15:01:47.818315,,core
Lockheed Martin,S,aerospace_defense_space,Lockheed Martin,CG-71D04FE648,resolved_scannable,415,https://www.lockheedmartin.com/careers/opportunities,True,UNKNOWN,,,core
RTX,S,aerospace_defense_space,RTX,CG-F7AF09EAD5,resolved_scannable,95,https://careers.rtx.com/global/en/search-results,True,UNKNOWN,,,core
Northrop Grumman,S,aerospace_defense_space,Northrop Grumman,CG-E589C97513,resolved_scannable,439,https://www.northropgrumman.com/jobs-search,True,UNKNOWN,,,core
BAE Systems,S,aerospace_defense_space,BAE Systems,CG-2E8F622606,resolved_scannable,244,https://jobsearch.baesystems.com/,True,UNKNOWN,,,core
Boeing,S,aerospace_defense_space,Boeing,CG-0E449AA646,resolved_scannable,182,https://jobs.boeing.com/search-jobs,True,HEALTHY,2026-08-31 15:01:57.706019,,core
General Dynamics,S,aerospace_defense_space,General Dynamics,CG-CF43E886A4,resolved_scannable,378,https://www.gd.com/careers,True,UNKNOWN,,,core
Airbus,S,aerospace_defense_space,Airbus,CG-4D2E5FDA0F,resolved_scannable,5,https://ag.wd3.myworkdayjobs.com/Airbus,True,HEALTHY,2026-08-31 15:02:26.598558,,core
Thales,S,aerospace_defense_space,Thales,CG-58A73FDDC8,resolved_scannable,277,https://thales.wd3.myworkdayjobs.com/Careers,True,UNKNOWN,,,core
Leonardo,S,aerospace_defense_space,Leonardo,CG-7610BAE85F,resolved_scannable,247,https://leonardocompany.wd3.myworkdayjobs.com/LeonardoCareerSite,True,UNKNOWN,,,core
L3Harris,S,aerospace_defense_space,L3Harris,CG-FE01B1C59A,resolved_scannable,70,https://careers.l3harris.com/en/search_jobs,True,HEALTHY,2026-08-31 15:01:50.613056,,core
Rheinmetall,S,aerospace_defense_space,Rheinmetall,CG-275853A231,resolved_scannable,461,https://www.rheinmetall.com/en/career/vacancies,True,UNKNOWN,,,core
Saab,S,aerospace_defense_space,Saab,CG-82B5B75769,resolved_scannable,467,https://www.saab.com/career/job-opportunities,True,UNKNOWN,,,core
SpaceX,S,aerospace_defense_space,SpaceX,CG-07DB55ED85,resolved_scannable,481,https://www.spacex.com/careers/,True,UNKNOWN,,,core
Tesla,S,automotive_industrial,Tesla,CG-1156DEC907,resolved_scannable,495,https://www.tesla.com/careers/search,True,UNKNOWN,,,core
BMW,S,automotive_industrial,BMW,CG-62A2A1EF85,resolved_scannable,322,https://www.bmwgroup.jobs/,True,UNKNOWN,,,core
Mercedes-Benz,S,automotive_industrial,Mercedes-Benz,CG-C577A51F04,resolved_scannable,217,https://jobs.mercedes-benz.com/,True,HEALTHY,2026-08-31 15:01:57.441834,,core
Volkswagen,S,automotive_industrial,Volkswagen,CG-86E8418A5A,resolved_scannable,237,https://jobs.volkswagen-group.com/go/All-jobs/,True,UNKNOWN,,,core
Porsche,S,automotive_industrial,Porsche,CG-86E8418A5A,resolved_scannable,237,https://jobs.volkswagen-group.com/go/All-jobs/,True,UNKNOWN,,,core
Ferrari,S,automotive_industrial,Ferrari,CG-5BC1824930,resolved_scannable,203,https://jobs.ferrari.com/,True,HEALTHY,2026-08-31 09:00:23.378035,,core
Bosch,S,automotive_industrial,Bosch,CG-50AF7346E4,resolved_scannable,326,https://www.bosch.com/careers/,True,UNKNOWN,,,core
Siemens,S,automotive_industrial,Siemens,CG-651F5D4C18,resolved_scannable,231,https://jobs.siemens.com/en_US/externaljobs/SearchJobs/,True,HEALTHY,2026-08-31 15:02:47.315702,,core
Schneider Electric,S,automotive_industrial,Schneider Electric,CG-417702EE11,resolved_scannable,97,https://careers.se.com/Defaultlandingpage/jobs/locations,True,UNKNOWN,,,core
ENISA,S,public_international,,,missing_to_resolve,,,False,,,,core
NATO,S,public_international,,,missing_to_resolve,,,False,,,,core
European Space Agency,S,public_international,,,missing_to_resolve,,,False,,,,core
European Central Bank,S,public_international,,,missing_to_resolve,,,False,,,,core
GitHub,S,global_tech_cloud_ai,GitHub,CG-64B2B6D12B,resolved_scannable,382,https://www.github.careers/careers-home/jobs,True,UNKNOWN,,,core
GitLab,S,global_tech_cloud_ai,GitLab,CG-322F31631D,resolved_scannable,3,https://about.gitlab.com/jobs/,True,HEALTHY,2026-08-31 09:38:08.825624,,core
Red Hat,S,global_tech_cloud_ai,Red Hat,CG-3C767C41AF,present_unresolved,,,False,,,,core
SAP,S,global_tech_cloud_ai,SAP,CG-F4603BD4AE,resolved_scannable,229,https://jobs.sap.com/,True,UNKNOWN,,,core
Salesforce,S,global_tech_cloud_ai,Salesforce,CG-D77B13FADA,resolved_scannable,96,https://careers.salesforce.com/en/jobs/,True,HEALTHY,2026-08-31 14:31:30.551773,,core
ServiceNow,S,global_tech_cloud_ai,ServiceNow,CG-3992469ADB,resolved_not_scannable,99,https://careers.servicenow.com/jobs,False,DEGRADED,,,core
Dell Technologies,S,global_tech_cloud_ai,Dell Technologies,CG-643256E66B,resolved_scannable,194,https://jobs.dell.com/en/search-jobs,True,HEALTHY,2026-08-31 15:02:04.968540,,core
Hewlett Packard Enterprise,S,global_tech_cloud_ai,Hewlett Packard Enterprise,CG-1C08E12FCC,resolved_scannable,62,https://careers.hpe.com/us/en/search-results,True,HEALTHY,2026-08-31 14:31:25.978148,,core
Intel,S,global_tech_cloud_ai,Intel,CG-EECDDD10D7,resolved_scannable,521,https://intel.wd1.myworkdayjobs.com/External,True,UNKNOWN,,,core
AMD,S,global_tech_cloud_ai,AMD,CG-1EA0B794E1,present_unresolved,,,False,,,,core
Arm,S,global_tech_cloud_ai,,,missing_to_resolve,,,False,,,,core
Qualcomm,S,global_tech_cloud_ai,Qualcomm,CG-77BC8E7456,resolved_scannable,456,https://www.qualcomm.com/company/careers,True,UNKNOWN,,,core
Atlassian,S,global_tech_cloud_ai,Atlassian,CG-5AEA57BF09,resolved_scannable,304,https://www.atlassian.com/company/careers,True,UNKNOWN,,,core
Datadog,S,global_tech_cloud_ai,Datadog,CG-8BAB8F900C,resolved_scannable,44,https://careers.datadoghq.com/all-jobs/,True,HEALTHY,2026-08-31 14:31:22.220014,,core
Elastic,S,global_tech_cloud_ai,Elastic,CG-988EB49809,resolved_scannable,363,https://www.elastic.co/careers,True,UNKNOWN,,,core
Snowflake,S,global_tech_cloud_ai,Snowflake,CG-B0C5516F28,resolved_scannable,101,https://careers.snowflake.com/us/en/search-results,True,UNKNOWN,,,core
Databricks,S,global_tech_cloud_ai,,,missing_to_resolve,,,False,,,,core
Akamai,S,global_tech_cloud_ai,Akamai,CG-36B7393762,resolved_scannable,288,https://www.akamai.com/careers,True,UNKNOWN,,,core
F5,S,global_tech_cloud_ai,F5,CG-547CD2BA3A,present_unresolved,,,False,,,,core
Veeam,S,cybersecurity_vendor,Veeam,CG-64382CACED,present_unresolved,,,False,,,,core
Sophos,S,cybersecurity_vendor,Sophos,CG-D5007DB708,resolved_scannable,480,https://www.sophos.com/en-us/company/careers,True,UNKNOWN,,,core
Trend Micro,S,cybersecurity_vendor,Trend Micro,CG-D864934644,resolved_scannable,496,https://www.trendmicro.com/en/about/careers.html,True,UNKNOWN,,,core
Illumio,S,cybersecurity_vendor,Illumio,CG-87DEFD60E0,resolved_scannable,397,https://www.illumio.com/company/careers,True,UNKNOWN,,,core
Arctic Wolf,S,cybersecurity_vendor,Arctic Wolf,CG-44B5A3C0F1,resolved_scannable,10,https://arcticwolf.com/company/careers/,True,HEALTHY,2026-08-31 09:38:09.552645,,core
Abnormal Security,S,cybersecurity_vendor,Abnormal Security,CG-5ACF005D98,resolved_scannable,1,https://abnormal.ai/careers/open-roles,True,HEALTHY,2026-08-31 09:38:08.515913,,core
Vanta,S,cybersecurity_vendor,Vanta,CG-3E09ECD21F,present_unresolved,,,False,,,,core
Cato Networks,S,cybersecurity_vendor,Cato Networks,CG-1B649F25AD,resolved_scannable,337,https://www.catonetworks.com/careers/,True,UNKNOWN,,,core
Orca Security,S,cybersecurity_vendor,Orca Security,CG-11763A16EB,resolved_not_scannable,259,https://orca.security/about/careers/,False,DEGRADED,2026-08-31 14:35:17.631422,,core
Aqua Security,S,cybersecurity_vendor,Aqua Security,CG-94D6BD7E03,resolved_scannable,298,https://www.aquasec.com/careers/,True,UNKNOWN,,,core
Sysdig,S,cybersecurity_vendor,Sysdig,CG-8C57AA1754,resolved_scannable,487,https://www.sysdig.com/careers/open-positions,True,UNKNOWN,,,core
HackerOne,S,cybersecurity_vendor,HackerOne,CG-9A53EF1C60,resolved_scannable,388,https://www.hackerone.com/careers,True,UNKNOWN,,,core
